Painting_Name,Artist_Name,Date,Artist_Gender,Subject_Clothing,Subject_Location,Subject_Sight,Subject_Activity
Woman with a Pink,Rembrandt (Rembrandt van Rijn),1660,Male,Dressed,Interior,LookingAway,Potrait
Young Woman with a Lute,Johannes Vermeer,1662,Male,Dressed,Interior,LookingAway,Activity
Portrait of a Woman,Nicolaes Maes,1665,Male,Dressed,Unknown,LookingAt,Potrait
Study of a Young Woman,Johannes Vermeer,1665,Male,Dressed,Unknown,LookingAt,Potrait
Study for a Portrait of a Woman,Sir Peter Lely (Pieter van der Faes),1670,Male,Dressed,Interior,LookingAway,Potrait
"Barbara Villiers (1640–1709), Duchess of Cleveland",Sir Peter Lely,1670,Female,Dressed,Interior,LookingAway,Potrait
Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),1670,Male,Dressed,Unknown,LookingAt,Potrait
"Ingena Rotterdam (died 1704), Betrothed of Admiral Jacob Binkes",Nicolaes Maes,1676,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Willem Wissing,1682,Male,Dressed,Outdoor,LookingAt,Potrait
Portrait of a Woman,Continental Painter,1685,Anonymous,Dressed,Unknown,LookingAt,Potrait
"Lady Mary Berkeley, Wife of Thomas Chambers",Sir Godfrey Kneller,1695,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Michael Dahl,1696,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Thomas Forster,1700,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman in a Rose Dress,French Painter,1700,Anonymous,Dressed,Unknown,LookingAt,Potrait
"Caroline of Ansbach (1683–1737), Consort of George II of Great Britain and Ireland",Benjamin Arlaud,1701,Male,Dressed,Unknown,LookingAt,Potrait
"A Woman, Possibly Sophia Dorothea (1687–1757), Later Queen of Prussia",Benjamin Arlaud,1701,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Thomas Forster,1701,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Christian Friedrich Zincke,1703,Male,Dressed,Unknown,LookingAt,Potrait
"Marie Adélaïde de Savoie (1685–1712), Duchesse de Bourgogne",Pierre Gobert,1710,Male,Dressed,Interior,LookingAway,Potrait
Mrs. Vanderbank,Christian Friedrich Zincke,1725,Male,Dressed,Unknown,LookingAt,Potrait
A Woman with a Dog,Giacomo Ceruti,1740,Male,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Continental Painter,1740,Anonymous,Dressed,Unknown,LookingAt,Potrait
Portrait of a Woman,Johann Nikolaus Grooth,1743,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Sir Joshua Reynolds,1743,Male,Dressed,Interior,LookingAway,Potrait
"Marie Françoise de La Cropte de St. Abre, Marquise d'Argence (born 1714)",Jean Marc Nattier,1744,Male,Dressed,Outdoor,LookingAt,Potrait
Portrait of a Woman,Continental Painter,1745,Anonymous,Dressed,Unknown,LookingAt,Potrait
"Woman in Turkish Dress, Seated on a Sofa",Jean Etienne Liotard,1747,Male,Dressed,Interior,LookingAway,Activity
Queen Charlotte,Thomas Gainsborough,1747,Male,Dressed,Interior,LookingAt,Potrait
"Mrs. Ralph Izard (Alice De Lancey, 1746/47–1832)",Thomas Gainsborough,1747,Male,Dressed,Interior,LookingAt,Potrait
The Toilette of Venus,François Boucher,1751,Male,Nude,Interior,LookingAway,Activity
