Object ID,Department,Object Date,Continent,Tags,Link Resource
52932,Asian Art,17,An,Butterflies|Flowers|Leaves|Vases,http://www.metmuseum.org/art/collection/search/52932
52904,Asian Art,17,An,Butterflies|Flowers|Teapots,http://www.metmuseum.org/art/collection/search/52904
49305,Asian Art,17,An,Butterflies|Flowers|Trees|Vases,http://www.metmuseum.org/art/collection/search/49305
50822,Asian Art,17,An,Butterflies|Flowers|Vases,http://www.metmuseum.org/art/collection/search/50822
70013,Asian Art,17,An,Butterflies|Leaves,http://www.metmuseum.org/art/collection/search/70013
70514,Asian Art,17,An,Butterflies|Peonies,http://www.metmuseum.org/art/collection/search/70514
201,American Decorative Arts,17,Na,Butterflies|Roses,http://www.metmuseum.org/art/collection/search/201
42200,Asian Art,17,An,Butterflies|Vases,http://www.metmuseum.org/art/collection/search/42200
50323,Asian Art,17,An,Butterflies|Vines|Dishes,http://www.metmuseum.org/art/collection/search/50323
200,American Decorative Arts,17,Na,Dogs|Goats|Lions|Snakes|Trees|Angels|Adam|Eve|Butterflies,http://www.metmuseum.org/art/collection/search/200
29731,Arms and Armor,17,An,Dragonflies|Insects|Butterflies,http://www.metmuseum.org/art/collection/search/29731
145,American Decorative Arts,17,Na,Fruit|Grapes|Butterflies|Leaves|Teapots,http://www.metmuseum.org/art/collection/search/145
202,American Decorative Arts,17,Na,Garlands|Faces|Parrots|Butterflies,http://www.metmuseum.org/art/collection/search/202
173,American Decorative Arts,17,Na,Human Figures|Fans|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/173
174,American Decorative Arts,17,Na,Human Figures|Musical Instruments|Birds|Fans|Butterflies,http://www.metmuseum.org/art/collection/search/174
360158,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/360158
361542,Drawings and Prints,17,An,Insects|Butterflies,http://www.metmuseum.org/art/collection/search/361542
361543,Drawings and Prints,17,An,Insects|Butterflies,http://www.metmuseum.org/art/collection/search/361543
361545,Drawings and Prints,17,An,Insects|Butterflies,http://www.metmuseum.org/art/collection/search/361545
361547,Drawings and Prints,17,An,Insects|Butterflies,http://www.metmuseum.org/art/collection/search/361547
361550,Drawings and Prints,17,An,Insects|Butterflies,http://www.metmuseum.org/art/collection/search/361550
376679,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/376679
399922,Drawings and Prints,17,An,Insects|Flowers|Plants,http://www.metmuseum.org/art/collection/search/399922
385463,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/385463
385464,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/385464
423620,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/423620
70493,Asian Art,17,An,Insects,http://www.metmuseum.org/art/collection/search/70493
385466,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/385466
385467,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/385467
385468,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/385468
385469,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/385469
385470,Drawings and Prints,17,An,Insects,http://www.metmuseum.org/art/collection/search/385470
60954,Asian Art,17,An,Insects|Bowls,http://www.metmuseum.org/art/collection/search/60954
364117,Drawings and Prints,17,An,Insects|Butterflies,http://www.metmuseum.org/art/collection/search/364117
366820,Drawings and Prints,17,An,Insects|Butterflies|Dragonflies,http://www.metmuseum.org/art/collection/search/366820
68980,Asian Art,17,An,Insects|Flowers|Human Figures,http://www.metmuseum.org/art/collection/search/68980
52812,Asian Art,17,An,Insects|Landscapes|Beakers,http://www.metmuseum.org/art/collection/search/52812
63615,Asian Art,17,An,Insects|Leaves|Dishes,http://www.metmuseum.org/art/collection/search/63615
52223,Asian Art,17,An,Insects|Lions|Leaves|Dishes,http://www.metmuseum.org/art/collection/search/52223
55364,Asian Art,17,An,Insects|Plants,http://www.metmuseum.org/art/collection/search/55364
